Data Source,Censoring Indicator,Count,Days,Failure Mode
Field,Failed,1,181,Wear
Field,Censored,1,95,Censored
Field,Censored,1,504,Censored
Field,Censored,1,588,Censored
Field,Censored,1,386,Censored
Field,Censored,1,487,Censored
Field,Failed,1,278,Wear
Field,Censored,1,656,Censored
Field,Censored,1,404,Censored
Field,Failed,1,493,Wear
Field,Failed,1,223,Wear
Field,Censored,1,321,Censored
Field,Failed,1,269,Wear
Field,Censored,1,385,Censored
Field,Censored,1,439,Censored
Field,Failed,1,220,Wear
Field,Failed,1,282,Wear
Field,Censored,1,29,Censored
Field,Failed,1,640,Wear
Field,Failed,1,462,Wear
Field,Failed,1,250,Wear
Field,Failed,1,388,Wear
Field,Failed,1,417,Wear
Field,Failed,1,353,Wear
Field,Failed,1,583,Wear
Field,Censored,1,390,Censored
Field,Failed,1,177,Wear
Field,Failed,1,575,Wear
Field,Failed,1,474,Wear
Field,Failed,1,225,Wear
Field,Censored,1,584,Censored
Field,Failed,1,429,Wear
Field,Censored,1,474,Censored
Field,Censored,1,582,Censored
Field,Censored,1,176,Censored
Field,Censored,1,430,Censored
Field,Censored,1,577,Censored
Field,Failed,1,501,Wear
Field,Failed,1,224,Wear
Field,Failed,1,136,Wear
Field,Censored,1,376,Censored
Field,Failed,1,127,Wear
Field,Censored,1,377,Censored
Field,Failed,1,458,Wear
Field,Failed,1,274,Wear
Field,Censored,1,417,Censored
Field,Failed,1,177,Wear
Field,Censored,1,318,Censored
Field,Censored,1,265,Censored
Field,Failed,1,387,Wear
Field,Failed,1,427,Wear
Field,Failed,1,588,Cracked
Field,Failed,1,307,Wear
Field,Failed,1,253,Wear
Field,Failed,1,570,Wear
Field,Censored,1,54,Censored
Field,Failed,1,166,Wear
Field,Failed,1,266,Cracked
Field,Censored,1,568,Censored
Field,Failed,1,318,Wear
Field,Failed,1,510,Wear
Field,Failed,1,417,Wear
Field,Failed,1,302,Wear
Field,Failed,1,570,Cracked
Field,Censored,10,728,Censored
Field,Censored,12,727,Censored
Field,Censored,11,725,Censored
Field,Censored,5,715,Censored
Field,Censored,19,710,Censored
Field,Censored,49,692,Censored
Field,Censored,47,680,Censored
Field,Censored,4,679,Censored
Field,Censored,86,677,Censored
Field,Censored,1,208,Censored
Field,Failed,1,525,Wear
Field,Censored,1,269,Censored
Field,Censored,1,217,Censored
Field,Failed,1,471,Wear
Field,Failed,1,154,Wear
Field,Failed,1,270,Wear
Field,Failed,1,229,Wear
Field,Censored,1,154,Censored
Field,Failed,1,308,Wear
Field,Failed,1,283,Wear
Field,Censored,1,46,Censored
Field,Failed,1,214,Wear
Field,Failed,1,213,Wear
Field,Failed,1,241,Wear
Field,Failed,1,329,Cracked
Field,Failed,1,542,Wear
Field,Failed,1,307,Cracked
Field,Failed,1,292,Wear
Field,Censored,1,376,Censored
Field,Failed,1,504,Cracked
Field,Censored,1,376,Censored
Field,Failed,1,451,Wear
Field,Failed,1,122,Wear
Field,Censored,1,492,Censored
Field,Failed,1,512,Wear
Field,Censored,1,461,Censored
Field,Failed,1,373,Wear
Field,Censored,1,196,Censored
Field,Censored,1,65,Censored
Field,Censored,1,113,Censored
Field,Censored,1,73,Censored
Field,Failed,1,269,Wear
Field,Censored,1,433,Censored
Field,Censored,1,249,Censored
Field,Failed,1,402,Wear
Field,Censored,1,73,Censored
Field,Censored,5,670,Censored
Field,Censored,27,669,Censored
Field,Censored,39,654,Censored
Field,Censored,1,645,Censored
Field,Censored,19,643,Censored
Field,Censored,9,631,Censored
Field,Censored,24,625,Censored
Field,Censored,22,622,Censored
Field,Censored,14,621,Censored
Field,Censored,43,613,Censored
Field,Failed,1,262,Wear
Field,Failed,1,246,Cracked
Field,Failed,1,464,Cracked
Field,Failed,1,53,Wear
Field,Failed,1,114,Wear
Field,Failed,1,366,Wear
Field,Censored,1,220,Censored
Field,Censored,1,84,Censored
Field,Censored,1,353,Censored
Field,Failed,1,246,Wear
Field,Failed,1,433,Cracked
Field,Failed,1,388,Wear
Field,Failed,1,250,Cracked
Field,Failed,1,458,Wear
Field,Censored,1,432,Censored
Field,Failed,1,459,Cracked
Field,Censored,1,45,Censored
Field,Censored,31,594,Censored
Field,Censored,43,590,Censored
Field,Censored,1,585,Censored
Field,Censored,4,581,Censored
Field,Censored,95,552,Censored
Field,Censored,174,551,Censored
Field,Failed,1,413,Wear
Field,Failed,1,200,Wear
Field,Censored,1,146,Censored
Field,Censored,1,379,Censored
Field,Failed,1,420,Wear
Field,Censored,1,272,Censored
Field,Failed,1,373,Wear
Field,Failed,1,135,Wear
Field,Failed,1,298,Wear
Field,Failed,1,105,Wear
Field,Censored,1,158,Censored
Field,Censored,1,326,Censored
Field,Failed,1,189,Wear
Field,Censored,1,296,Censored
Field,Failed,1,163,Wear
Field,Failed,1,380,Wear
Field,Failed,1,97,Wear
Field,Failed,1,329,Cracked
Field,Censored,4,546,Censored
Field,Censored,12,542,Censored
Field,Censored,1,539,Censored
Field,Censored,5,526,Censored
Field,Censored,16,493,Censored
Field,Censored,20,490,Censored
Field,Censored,256,489,Censored
Field,Failed,1,361,Wear
Field,Censored,1,360,Censored
Field,Failed,1,207,Wear
Field,Failed,1,207,Wear
Field,Failed,1,101,Wear
Field,Censored,1,161,Censored
Field,Censored,1,101,Censored
Field,Censored,1,227,Censored
Field,Censored,1,339,Censored
Field,Failed,1,373,Wear
Field,Censored,1,81,Censored
Field,Censored,1,45,Censored
Field,Failed,1,339,Wear
Field,Failed,1,266,Wear
Field,Censored,1,335,Censored
Field,Censored,1,224,Censored
Field,Censored,1,269,Censored
Field,Censored,1,241,Censored
Field,Censored,1,112,Censored
Field,Censored,1,252,Censored
Field,Censored,1,283,Censored
Field,Failed,1,357,Wear
Field,Failed,1,68,Wear
Field,Censored,1,179,Censored
Field,Censored,1,101,Censored
Field,Censored,7,486,Censored
Field,Censored,8,485,Censored
Field,Censored,9,475,Censored
Field,Censored,4,470,Censored
Field,Censored,4,453,Censored
Field,Censored,22,448,Censored
Field,Censored,20,446,Censored
Field,Censored,28,445,Censored
Field,Censored,2,442,Censored
Field,Censored,10,433,Censored
Field,Censored,111,431,Censored
Field,Censored,233,429,Censored
Field,Censored,1,81,Censored
Field,Censored,1,338,Censored
Field,Failed,1,314,Cracked
Field,Failed,1,326,Wear
Field,Censored,1,271,Censored
Field,Failed,1,319,Wear
Field,Failed,1,230,Wear
Field,Censored,1,125,Censored
Field,Failed,1,294,Wear
Field,Censored,1,59,Censored
Field,Censored,1,305,Censored
Field,Censored,1,426,Censored
Field,Censored,19,415,Censored
Field,Censored,1,408,Censored
Field,Censored,77,407,Censored
Field,Censored,22,404,Censored
Field,Censored,17,402,Censored
Field,Censored,31,400,Censored
Field,Censored,50,398,Censored
Field,Censored,15,397,Censored
Field,Censored,21,393,Censored
Field,Censored,11,391,Censored
Field,Censored,5,388,Censored
Field,Censored,39,386,Censored
Field,Censored,17,384,Censored
Field,Censored,12,378,Censored
Field,Censored,12,376,Censored
Field,Censored,4,374,Censored
Field,Censored,44,372,Censored
Field,Censored,1,100,Censored
Field,Censored,1,247,Censored
Field,Censored,1,182,Censored
Field,Failed,1,158,Wear
Field,Failed,1,204,Wear
Field,Censored,1,241,Censored
Field,Censored,1,153,Censored
Field,Failed,1,98,Cracked
Field,Failed,1,242,Cracked
Field,Censored,1,256,Censored
Field,Failed,1,225,Wear
Field,Failed,1,61,Wear
Field,Censored,1,164,Censored
Field,Censored,1,116,Censored
Field,Censored,1,173,Censored
Field,Censored,1,258,Censored
Field,Censored,1,198,Censored
Field,Failed,1,240,Cracked
Field,Censored,1,233,Censored
Field,Failed,1,182,Cracked
Field,Censored,1,169,Censored
Field,Censored,1,224,Censored
Field,Failed,1,246,Wear
Field,Censored,1,189,Censored
Field,Censored,1,71,Censored
Field,Censored,1,198,Censored
Field,Censored,1,199,Censored
Field,Failed,1,72,Wear
Field,Censored,1,241,Censored
Field,Failed,1,165,Cracked
Field,Censored,1,214,Censored
Field,Censored,1,287,Censored
Field,Censored,1,263,Censored
Field,Failed,1,100,Cracked
Field,Censored,33,365,Censored
Field,Censored,13,363,Censored
Field,Censored,18,361,Censored
Field,Censored,2,359,Censored
Field,Censored,11,356,Censored
Field,Censored,10,351,Censored
Field,Censored,7,342,Censored
Field,Censored,11,335,Censored
Field,Censored,64,333,Censored
Field,Censored,62,330,Censored
Field,Censored,22,323,Censored
Field,Censored,74,320,Censored
Field,Censored,12,318,Censored
Field,Censored,98,250,Censored
Field,Failed,1,76,Cracked
Field,Censored,1,154,Censored
Field,Censored,1,172,Censored
Field,Censored,7,305,Censored
Field,Censored,22,303,Censored
Field,Censored,40,292,Censored
Field,Censored,30,291,Censored
Field,Censored,38,289,Censored
Field,Censored,21,287,Censored
Field,Censored,2,285,Censored
Field,Censored,15,281,Censored
Field,Censored,16,278,Censored
Field,Censored,4,277,Censored
Field,Censored,5,274,Censored
Field,Censored,64,270,Censored
Field,Censored,55,267,Censored
Field,Censored,1,167,Censored
Field,Censored,1,166,Censored
Field,Failed,1,166,Wear
Field,Failed,1,148,Wear
Field,Censored,42,232,Censored
Field,Censored,193,230,Censored
Field,Censored,53,227,Censored
Field,Censored,5,223,Censored
Field,Censored,61,220,Censored
Field,Censored,9,218,Censored
Field,Censored,3,208,Censored
Field,Censored,61,206,Censored
Field,Censored,1,204,Censored
Field,Censored,5,203,Censored
Field,Censored,120,196,Censored
Field,Censored,53,195,Censored
Field,Censored,15,192,Censored
Field,Censored,2,191,Censored
Field,Censored,20,187,Censored
Field,Censored,3,184,Censored
Field,Censored,3,180,Censored
Field,Censored,6,178,Censored
Field,Censored,3,177,Censored
Field,Censored,2,174,Censored
Field,Censored,56,169,Censored
Field,Censored,12,167,Censored
Field,Censored,1,164,Censored
Field,Censored,49,163,Censored
Field,Censored,1,161,Censored
Field,Censored,1,154,Censored
Field,Censored,2,138,Censored
Field,Censored,2,137,Censored
Field,Censored,169,132,Censored
Field,Censored,21,127,Censored
Field,Censored,2,125,Censored
Field,Censored,4,123,Censored
Field,Censored,1,121,Censored
Field,Censored,1,119,Censored
Field,Censored,47,108,Censored
Field,Censored,50,106,Censored
Field,Censored,93,104,Censored
Field,Censored,1,95,Censored
Field,Censored,38,93,Censored
Field,Censored,1,91,Censored
Field,Censored,11,85,Censored
Field,Censored,3,80,Censored
Field,Censored,9,79,Censored
Field,Censored,2,76,Censored
Field,Censored,15,75,Censored
Field,Censored,60,71,Censored
Field,Censored,8,69,Censored
Field,Censored,23,67,Censored
Field,Censored,3,64,Censored
Field,Censored,1,63,Censored
Field,Censored,23,57,Censored
Field,Censored,119,55,Censored
Field,Censored,19,53,Censored
Field,Censored,11,50,Censored
Field,Censored,4,49,Censored
Field,Censored,19,41,Censored
Field,Censored,2,39,Censored
Field,Censored,118,37,Censored
Field,Censored,2,34,Censored
Field,Censored,8,29,Censored
Field,Censored,3,24,Censored
Field,Censored,38,22,Censored
Field,Censored,8,14,Censored
Field,Censored,38,12,Censored
Field,Censored,16,10,Censored
Field,Censored,1,9,Censored
Field,Censored,19,6,Censored
