Batch,Years Lower,Years Upper,Count,Result,Censoring Indicator
14,2.5,,75,Pass,Right
14,2.6,,28,Pass,Right
14,2.7,,38,Pass,Right
14,,2.7,1,Fail,Left
14,2.9,,39,Pass,Right
14,,2.9,1,Fail,Left
14,3.1,,12,Pass,Right
14,3.2,,20,Pass,Right
14,3.3,,16,Pass,Right
14,3.4,,3,Pass,Right
14,3.5,,38,Pass,Right
14,3.6,,18,Pass,Right
14,3.7,,4,Pass,Right
14,3.8,,47,Pass,Right
14,3.9,,21,Pass,Right
14,4.5,,3,Pass,Right
14,4.6,,17,Pass,Right
14,4.7,,6,Pass,Right
14,4.9,,22,Pass,Right
14,5.2,,28,Pass,Right
14,5.3,,12,Pass,Right
14,5.5,,4,Pass,Right
14,5.8,,20,Pass,Right
14,6,,6,Pass,Right
13,4.2,,27,Pass,Right
13,4.4,,13,Pass,Right
13,4.6,,2,Pass,Right
13,4.8,,25,Pass,Right
13,5,,32,Pass,Right
13,5.1,,11,Pass,Right
13,5.2,,33,Pass,Right
13,5.3,,8,Pass,Right
13,5.4,,4,Pass,Right
13,5.6,,12,Pass,Right
13,5.7,,28,Pass,Right
13,5.8,,10,Pass,Right
13,5.9,,25,Pass,Right
13,6,,28,Pass,Right
13,6.1,,10,Pass,Right
13,6.2,,28,Pass,Right
13,,6.2,1,Fail,Left
13,6.3,,37,Pass,Right
13,6.4,,4,Pass,Right
13,6.5,,14,Pass,Right
13,6.6,,6,Pass,Right
13,6.9,,18,Pass,Right
13,7,,5,Pass,Right
13,7.1,,4,Pass,Right
13,7.5,,2,Pass,Right
13,7.6,,2,Pass,Right
13,7.7,,2,Pass,Right
12,5.5,,6,Pass,Right
12,5.7,,4,Pass,Right
12,5.9,,2,Pass,Right
12,6.1,,35,Pass,Right
12,6.4,,20,Pass,Right
12,6.7,,10,Pass,Right
12,6.8,,21,Pass,Right
12,,6.8,1,Fail,Left
12,6.9,,2,Pass,Right
12,7.2,,40,Pass,Right
12,,7.2,1,Fail,Left
12,7.3,,27,Pass,Right
12,,7.3,1,Fail,Left
12,7.4,,19,Pass,Right
12,,7.4,1,Fail,Left
12,7.5,,17,Pass,Right
12,,7.5,3,Fail,Left
12,7.6,,15,Pass,Right
12,,7.6,1,Fail,Left
12,7.8,,6,Pass,Right
11,6.5,,7,Pass,Right
12,8.2,,6,Pass,Right
12,8.3,,8,Pass,Right
12,,8.3,1,Fail,Left
12,8.4,,8,Pass,Right
12,8.5,,2,Pass,Right
12,8.8,,4,Pass,Right
11,8.4,,4,Pass,Right
11,8.5,,4,Pass,Right
11,9.8,,4,Pass,Right
11,,9.8,1,Fail,Left
11,9.9,,2,Pass,Right
10,8.2,,0,Pass,Right
10,,8.2,2,Fail,Left
10,8.9,,2,Pass,Right
9,8.9,,1,Pass,Right
9,9.4,,7,Pass,Right
9,10.1,,2,Pass,Right
8,9.6,,5,Pass,Right
7,8.9,,0,Pass,Right
7,,8.9,1,Fail,Left
6,9.2,,1,Pass,Right
6,,9.2,1,Fail,Left
7,9.3,,2,Pass,Right
6,9.4,,1,Pass,Right
6,,9.4,1,Fail,Left
6,9.6,,7,Pass,Right
6,,9.6,5,Fail,Left
5,9.6,,2,Pass,Right
7,9.6,,2,Pass,Right
7,9.7,,1,Pass,Right
7,10,,12,Pass,Right
7,,10,2,Fail,Left
7,10.2,,11,Pass,Right
7,10.4,,18,Pass,Right
7,10.5,,2,Pass,Right
7,10.6,,22,Pass,Right
7,10.8,,15,Pass,Right
7,,10.8,1,Fail,Left
7,10.9,,18,Pass,Right
5,9.7,,2,Pass,Right
5,,9.7,2,Fail,Left
6,9.7,,1,Pass,Right
6,,9.7,1,Fail,Left
5,9.8,,8,Pass,Right
5,,9.8,4,Fail,Left
6,9.9,,7,Pass,Right
6,,9.9,3,Fail,Left
6,10,,46,Pass,Right
6,,10,1,Fail,Left
6,10.2,,11,Pass,Right
6,,10.2,2,Fail,Left
6,10.3,,36,Pass,Right
6,,10.3,18,Fail,Left
6,10.4,,3,Pass,Right
6,,10.4,2,Fail,Left
6,10.5,,23,Pass,Right
6,,10.5,25,Fail,Left
6,10.6,,10,Pass,Right
6,,10.6,16,Fail,Left
6,10.7,,28,Pass,Right
6,,10.7,2,Fail,Left
6,10.8,,4,Pass,Right
6,10.9,,2,Pass,Right
6,,10.9,2,Fail,Left
5,10,,8,Pass,Right
5,,10,2,Fail,Left
5,10.1,,1,Pass,Right
5,,10.1,2,Fail,Left
5,10.2,,0,Pass,Right
5,10.3,,4,Pass,Right
5,,10.3,8,Fail,Left
5,10.5,,8,Pass,Right
5,10.6,,6,Pass,Right
5,10.7,,27,Pass,Right
5,,10.7,13,Fail,Left
5,10.8,,29,Pass,Right
5,,10.8,26,Fail,Left
5,10.9,,8,Pass,Right
5,,10.9,2,Fail,Left
4,10.4,,2,Pass,Right
3,10.5,,3,Pass,Right
3,,10.5,1,Fail,Left
3,10.7,,5,Pass,Right
3,,10.7,3,Fail,Left
9,11.4,,2,Pass,Right
8,11.6,,3,Pass,Right
7,11.6,,2,Pass,Right
7,11.8,,10,Pass,Right
7,,11.8,2,Fail,Left
7,12,,11,Pass,Right
7,,12,2,Fail,Left
7,12.2,,23,Pass,Right
7,,12.2,11,Fail,Left
7,12.3,,22,Pass,Right
7,,12.3,4,Fail,Left
6,11,,2,Pass,Right
6,,11,4,Fail,Left
6,11.1,,20,Pass,Right
6,,11.1,8,Fail,Left
6,11.2,,13,Pass,Right
6,,11.2,4,Fail,Left
6,11.9,,3,Pass,Right
6,,11.9,4,Fail,Left
6,12,,4,Pass,Right
6,,12,2,Fail,Left
6,12.1,,32,Pass,Right
6,,12.1,12,Fail,Left
6,12.3,,11,Pass,Right
6,,12.3,6,Fail,Left
6,12.5,,36,Pass,Right
6,,12.5,18,Fail,Left
6,12.6,,47,Pass,Right
6,,12.6,11,Fail,Left
5,11,,5,Pass,Right
5,,11,5,Fail,Left
5,11.1,,2,Pass,Right
5,11.2,,22,Pass,Right
5,,11.2,4,Fail,Left
5,11.3,,4,Pass,Right
5,,11.3,2,Fail,Left
5,11.4,,5,Pass,Right
5,,11.4,1,Fail,Left
5,11.5,,14,Pass,Right
5,,11.5,2,Fail,Left
5,11.6,,6,Pass,Right
5,,11.6,7,Fail,Left
5,12,,1,Pass,Right
5,,12,1,Fail,Left
5,12.4,,21,Pass,Right
5,,12.4,16,Fail,Left
5,12.5,,31,Pass,Right
5,,12.5,13,Fail,Left
5,12.8,,7,Pass,Right
5,,12.8,15,Fail,Left
5,12.9,,25,Pass,Right
5,,12.9,23,Fail,Left
5,13,,14,Pass,Right
5,,13,4,Fail,Left
4,11,,11,Pass,Right
4,,11,2,Fail,Left
4,11.2,,12,Pass,Right
4,,11.2,2,Fail,Left
4,11.3,,2,Pass,Right
4,11.4,,2,Pass,Right
4,11.5,,8,Pass,Right
4,,11.5,1,Fail,Left
4,11.6,,4,Pass,Right
4,11.8,,2,Pass,Right
4,12,,2,Pass,Right
4,12.1,,4,Pass,Right
4,,12.1,2,Fail,Left
4,12.2,,2,Pass,Right
4,13.1,,2,Pass,Right
4,13.3,,0,Pass,Right
4,,13.3,2,Fail,Left
4,13.5,,1,Pass,Right
4,13.6,,2,Pass,Right
3,11,,0,Pass,Right
3,,11,1,Fail,Left
3,11.2,,8,Pass,Right
3,11.3,,3,Pass,Right
3,11.4,,13,Pass,Right
3,11.5,,3,Pass,Right
3,11.7,,2,Pass,Right
3,11.8,,6,Pass,Right
3,,11.8,1,Fail,Left
3,11.9,,4,Pass,Right
3,12.2,,2,Pass,Right
3,12.4,,2,Pass,Right
3,12.5,,2,Pass,Right
3,12.6,,2,Pass,Right
3,13.2,,2,Pass,Right
3,13.3,,5,Pass,Right
3,,13.3,1,Fail,Left
3,13.5,,4,Pass,Right
3,13.7,,3,Pass,Right
3,,13.7,1,Fail,Left
3,13.8,,6,Pass,Right
3,,13.8,1,Fail,Left
2,12.3,,1,Pass,Right
2,,12.3,1,Fail,Left
2,12.4,,3,Pass,Right
2,14,,2,Pass,Right
1,11.9,,2,Pass,Right
1,12.7,,2,Pass,Right
1,13.9,,2,Pass,Right
1,15.2,,10,Pass,Right
