Unit Number,DegreesC,Current (mA),Hours,Voltage (mV),Relative Change
101,94,30,138,4.64262,1
101,94,30,234,4.50499,0.97036
101,94,30,330,4.40421,0.94865
101,94,30,402,4.33913,0.93463
101,94,30,498,4.21724,0.90838
101,94,30,570,4.18218,0.90082
101,94,30,666,4.13114,0.88983
101,94,30,738,4.09097,0.88118
101,94,30,834,4.01346,0.86448
101,94,30,906,3.97017,0.85516
102,94,30,138,5.74721,1
102,94,30,234,5.59646,0.97377
102,94,30,330,5.42814,0.94448
102,94,30,402,5.35786,0.93225
102,94,30,498,5.20746,0.90609
102,94,30,570,5.13738,0.89389
102,94,30,666,5.06533,0.88135
102,94,30,738,5.01052,0.87182
102,94,30,834,4.9258,0.85708
102,94,30,906,4.84628,0.84324
103,94,30,138,6.06229,1
103,94,30,234,5.91052,0.97496
103,94,30,330,5.72691,0.94468
103,94,30,402,5.66213,0.93399
103,94,30,498,5.5325,0.91261
103,94,30,570,5.44092,0.8975
103,94,30,666,5.36974,0.88576
103,94,30,738,5.30564,0.87519
103,94,30,834,5.22788,0.86236
103,94,30,906,5.15937,0.85106
104,94,30,138,6.07716,1
104,94,30,234,5.91315,0.97301
104,94,30,330,5.75937,0.94771
104,94,30,402,5.69758,0.93754
104,94,30,498,5.57387,0.91718
104,94,30,570,5.50195,0.90535
104,94,30,666,5.41634,0.89126
104,94,30,738,5.35589,0.88131
104,94,30,834,5.28594,0.8698
104,94,30,906,5.25254,0.86431
105,94,30,138,6.13204,1
105,94,30,234,5.93701,0.96819
105,94,30,330,5.79609,0.94521
105,94,30,402,5.72895,0.93427
105,94,30,498,5.60924,0.91474
105,94,30,570,5.55701,0.90623
105,94,30,666,5.4678,0.89168
105,94,30,738,5.40629,0.88165
105,94,30,834,5.32043,0.86764
105,94,30,906,5.28741,0.86226
106,94,30,138,6.3692,1
106,94,30,234,6.06318,0.95195
106,94,30,330,5.92246,0.92986
106,94,30,402,5.82766,0.91498
106,94,30,498,5.71325,0.89701
106,94,30,570,5.63305,0.88442
106,94,30,666,5.57178,0.8748
106,94,30,738,5.42793,0.85222
106,94,30,834,5.33703,0.83794
106,94,30,906,5.30132,0.83234
107,94,30,138,6.186,1
107,94,30,234,6.00754,0.97115
107,94,30,330,5.8517,0.94596
107,94,30,402,5.77268,0.93318
107,94,30,498,5.64593,0.91269
107,94,30,570,5.5701,0.90044
107,94,30,666,5.51136,0.89094
107,94,30,738,5.43417,0.87846
107,94,30,834,5.35856,0.86624
107,94,30,906,5.29506,0.85597
108,94,30,138,5.68045,1
108,94,30,234,5.50858,0.96974
108,94,30,330,5.33733,0.9396
108,94,30,402,5.27222,0.92813
108,94,30,498,5.16077,0.90851
108,94,30,570,5.08395,0.89499
108,94,30,666,5.0043,0.88097
108,94,30,738,4.94525,0.87057
108,94,30,834,4.88236,0.8595
108,94,30,906,4.826,0.84958
109,94,30,138,6.15523,1
109,94,30,234,5.96295,0.96876
109,94,30,330,5.79334,0.94121
109,94,30,402,5.71838,0.92903
109,94,30,498,5.59472,0.90894
109,94,30,570,5.53361,0.89901
109,94,30,666,5.44202,0.88413
109,94,30,738,5.37847,0.87381
109,94,30,834,5.31429,0.86338
109,94,30,906,5.25958,0.85449
110,94,30,138,6.30427,1
110,94,30,234,6.08635,0.96543
110,94,30,330,5.91903,0.93889
110,94,30,402,5.83493,0.92555
110,94,30,498,5.69847,0.90391
110,94,30,570,5.64203,0.89495
110,94,30,666,5.55089,0.8805
110,94,30,738,5.47693,0.86877
110,94,30,834,5.3941,0.85563
110,94,30,906,5.35648,0.84966
111,94,30,138,5.90467,1
111,94,30,234,5.72015,0.96875
111,94,30,330,5.56045,0.9417
111,94,30,402,5.49189,0.93009
111,94,30,498,5.37192,0.90978
111,94,30,570,5.3119,0.89961
111,94,30,666,5.24036,0.88749
111,94,30,738,5.16965,0.87552
111,94,30,834,5.0886,0.86179
111,94,30,906,5.03179,0.85217
112,94,30,138,5.8202,1
112,94,30,234,5.64679,0.97021
112,94,30,330,5.455,0.93725
112,94,30,402,5.40352,0.92841
112,94,30,498,5.28512,0.90807
112,94,30,570,5.19548,0.89266
112,94,30,666,5.15639,0.88595
112,94,30,738,5.06882,0.8709
112,94,30,834,4.98834,0.85707
112,94,30,906,4.91327,0.84418
113,94,30,138,6.58176,1
113,94,30,234,6.42201,0.97573
113,94,30,330,6.20523,0.94279
113,94,30,402,6.15904,0.93577
113,94,30,498,6.03456,0.91686
113,94,30,570,5.93295,0.90142
113,94,30,666,5.85014,0.88884
113,94,30,738,5.78026,0.87822
113,94,30,834,5.71149,0.86778
113,94,30,906,5.61999,0.85387
114,94,30,138,5.52848,1
114,94,30,234,5.37972,0.97309
114,94,30,330,5.25578,0.95067
114,94,30,402,5.20982,0.94236
114,94,30,498,5.11134,0.92455
114,94,30,570,5.04767,0.91303
114,94,30,666,4.97569,0.90001
114,94,30,738,4.92769,0.89133
114,94,30,834,4.89807,0.88597
114,94,30,906,4.84851,0.87701
115,94,30,138,5.95137,1
115,94,30,234,5.73436,0.96354
115,94,30,330,5.58179,0.9379
115,94,30,402,5.50064,0.92426
115,94,30,498,5.39139,0.90591
115,94,30,570,5.3351,0.89645
115,94,30,666,5.25017,0.88218
115,94,30,738,5.17616,0.86974
115,94,30,834,5.11189,0.85894
115,94,30,906,5.07119,0.85211
116,94,30,138,6.10069,1
116,94,30,234,5.94451,0.9744
116,94,30,330,5.77001,0.9458
116,94,30,402,5.68655,0.93212
116,94,30,498,5.57835,0.91438
116,94,30,570,5.5103,0.90323
116,94,30,666,5.44565,0.89263
116,94,30,738,5.36327,0.87913
116,94,30,834,5.26063,0.8623
116,94,30,906,5.21381,0.85463
117,94,30,138,5.74335,1
117,94,30,234,5.56034,0.96814
117,94,30,330,5.38733,0.93801
117,94,30,402,5.33091,0.92819
117,94,30,498,5.22382,0.90954
117,94,30,570,5.15008,0.8967
117,94,30,666,5.10268,0.88845
117,94,30,738,5.04107,0.87772
117,94,30,834,4.95888,0.86341
117,94,30,906,4.90086,0.85331
118,94,30,138,5.48982,1
118,94,30,234,5.32023,0.96911
118,94,30,330,5.16994,0.94173
118,94,30,402,5.1327,0.93495
118,94,30,498,5.03149,0.91651
118,94,30,570,4.9604,0.90356
118,94,30,666,4.89579,0.89179
118,94,30,738,4.755,0.86615
118,94,30,834,4.71284,0.85847
118,94,30,906,4.64577,0.84625
119,94,30,138,6.47641,1
119,94,30,234,6.24369,0.96407
119,94,30,330,6.04744,0.93376
119,94,30,402,5.9896,0.92483
119,94,30,498,5.91929,0.91398
119,94,30,570,5.834,0.90081
119,94,30,666,5.73215,0.88508
119,94,30,738,5.55253,0.85735
119,94,30,834,5.57798,0.86128
119,94,30,906,5.49531,0.84851
120,94,30,138,5.58787,1
120,94,30,234,5.38219,0.96319
120,94,30,330,5.22968,0.9359
120,94,30,402,5.16561,0.92443
120,94,30,498,5.08707,0.91038
120,94,30,570,5.03359,0.90081
120,94,30,666,4.95923,0.8875
120,94,30,738,4.87487,0.8724
120,94,30,834,4.82423,0.86334
120,94,30,906,4.79296,0.85774
121,94,30,138,6.22966,1
121,94,30,234,6.02217,0.96669
121,94,30,330,5.91908,0.95014
121,94,30,402,5.8982,0.94679
121,94,30,498,5.85254,0.93946
121,94,30,570,5.64091,0.90549
121,94,30,666,5.7222,0.91854
121,94,30,738,5.58604,0.89668
121,94,30,834,5.57482,0.89488
121,94,30,906,5.52286,0.88654
122,94,30,138,4.40611,1
122,94,30,234,4.29034,0.97372
122,94,30,330,4.16863,0.9461
122,94,30,402,4.14395,0.9405
122,94,30,498,4.08003,0.92599
122,94,30,570,4.01515,0.91127
122,94,30,666,3.9802,0.90334
122,94,30,738,3.90704,0.88673
122,94,30,834,3.85975,0.876
122,94,30,906,3.812,0.86516
123,94,30,138,6.12981,1
123,94,30,234,5.92017,0.9658
123,94,30,330,5.77765,0.94255
123,94,30,402,5.73072,0.93489
123,94,30,498,5.62137,0.91705
123,94,30,570,5.54049,0.90386
123,94,30,666,5.45682,0.89021
123,94,30,738,5.38154,0.87793
123,94,30,834,5.33187,0.86983
123,94,30,906,5.25029,0.85652
124,94,30,138,6.29136,1
124,94,30,234,6.07659,0.96586
124,94,30,330,5.94023,0.94419
124,94,30,402,5.84209,0.92859
124,94,30,498,5.72253,0.90959
124,94,30,570,5.66957,0.90117
124,94,30,666,5.58443,0.88764
124,94,30,738,5.47734,0.87061
124,94,30,834,5.4386,0.86446
124,94,30,906,5.36439,0.85266
125,94,30,138,5.54338,1
125,94,30,234,5.34868,0.96488
125,94,30,330,5.21422,0.94062
125,94,30,402,5.15457,0.92986
125,94,30,498,5.0458,0.91024
125,94,30,570,4.99253,0.90063
125,94,30,666,4.91176,0.88606
125,94,30,738,4.8422,0.87351
125,94,30,834,4.79013,0.86412
125,94,30,906,4.74138,0.85532
126,94,30,138,5.42953,1
126,94,30,234,5.26975,0.97057
126,94,30,330,5.10222,0.93972
126,94,30,402,5.07664,0.93501
126,94,30,498,4.98498,0.91812
126,94,30,570,4.91998,0.90615
126,94,30,666,4.87061,0.89706
126,94,30,738,4.82189,0.88809
126,94,30,834,4.73974,0.87296
126,94,30,906,4.70766,0.86705
127,94,30,138,5.59505,1
127,94,30,234,5.42795,0.97013
127,94,30,330,5.25755,0.93968
127,94,30,402,5.23818,0.93622
127,94,30,498,5.14596,0.91973
127,94,30,570,5.0617,0.90467
127,94,30,666,5.00278,0.89414
127,94,30,738,4.96317,0.88706
127,94,30,834,4.89215,0.87437
127,94,30,906,4.82317,0.86204
128,94,30,138,5.42992,1
128,94,30,234,5.25012,0.96689
128,94,30,330,5.11815,0.94258
128,94,30,402,5.07636,0.93489
128,94,30,498,4.99465,0.91984
128,94,30,570,4.90949,0.90416
128,94,30,666,4.84167,0.89167
128,94,30,738,4.78962,0.88208
128,94,30,834,4.74833,0.87448
128,94,30,906,4.67681,0.8613
129,94,30,138,5.58579,1
129,94,30,234,5.3892,0.96481
129,94,30,330,5.2605,0.94177
129,94,30,402,5.16977,0.92552
129,94,30,498,5.08369,0.91011
129,94,30,570,5.04072,0.90242
129,94,30,666,4.96019,0.888
129,94,30,738,4.88057,0.87375
129,94,30,834,4.83947,0.86639
129,94,30,906,4.7827,0.85623
130,94,30,138,5.73815,1
130,94,30,234,5.59782,0.97554
130,94,30,330,5.43559,0.94727
130,94,30,402,5.35904,0.93393
130,94,30,498,5.25823,0.91636
130,94,30,570,5.15613,0.89857
130,94,30,666,5.12209,0.89264
130,94,30,738,5.04115,0.87853
130,94,30,834,4.97199,0.86648
130,94,30,906,4.93217,0.85954
201,61,30,138,4.93854,1
201,61,30,234,4.86152,0.9844
201,61,30,330,4.79082,0.97009
201,61,30,402,4.74147,0.9601
201,61,30,498,4.65102,0.94178
201,61,30,570,4.58229,0.92786
201,61,30,666,4.55435,0.92221
201,61,30,738,4.52306,0.91587
201,61,30,834,4.45794,0.90268
201,61,30,906,4.43158,0.89735
202,61,30,138,6.0422,1
202,61,30,234,5.93797,0.98275
202,61,30,330,5.78541,0.9575
202,61,30,402,5.70442,0.9441
202,61,30,498,5.60175,0.9271
202,61,30,570,5.5347,0.91601
202,61,30,666,5.48149,0.9072
202,61,30,738,5.41476,0.89616
202,61,30,834,5.35449,0.88618
202,61,30,906,5.29611,0.87652
203,61,30,138,6.18354,1
203,61,30,234,6.12931,0.99123
203,61,30,330,5.9567,0.96332
203,61,30,402,5.85995,0.94767
203,61,30,498,5.75872,0.9313
203,61,30,570,5.66593,0.91629
203,61,30,666,5.60794,0.90691
203,61,30,738,5.56233,0.89954
203,61,30,834,5.48961,0.88778
203,61,30,906,5.41424,0.87559
204,61,30,138,6.64039,1
204,61,30,234,6.55311,0.98686
204,61,30,330,6.38986,0.96227
204,61,30,402,6.29587,0.94812
204,61,30,498,6.16776,0.92882
204,61,30,570,6.07365,0.91465
204,61,30,666,5.99859,0.90335
204,61,30,738,5.93506,0.89378
204,61,30,834,5.85708,0.88204
204,61,30,906,5.7993,0.87334
205,61,30,138,6.2563,1
205,61,30,234,6.16581,0.98554
205,61,30,330,6.03695,0.96494
205,61,30,402,5.95231,0.95141
205,61,30,498,5.83807,0.93315
205,61,30,570,5.77168,0.92254
205,61,30,666,5.6841,0.90854
205,61,30,738,5.62538,0.89915
205,61,30,834,5.55797,0.88838
205,61,30,906,5.53124,0.88411
206,61,30,138,6.25003,1
206,61,30,234,6.02389,0.96382
206,61,30,330,5.97749,0.95639
206,61,30,402,5.88018,0.94082
206,61,30,498,5.73179,0.91708
206,61,30,570,5.72104,0.91536
206,61,30,666,5.63456,0.90153
206,61,30,738,5.5056,0.88089
206,61,30,834,5.4538,0.8726
206,61,30,906,5.45262,0.87241
207,61,30,138,6.06357,1
207,61,30,234,5.98874,0.98766
207,61,30,330,5.87984,0.9697
207,61,30,402,5.82118,0.96002
207,61,30,498,5.76395,0.95059
207,61,30,570,5.72264,0.94377
207,61,30,666,5.68289,0.93722
207,61,30,738,5.61434,0.92591
207,61,30,834,5.54794,0.91496
207,61,30,906,5.49618,0.90643
208,61,30,138,5.74678,1
208,61,30,234,5.70558,0.99283
208,61,30,330,5.55761,0.96708
208,61,30,402,5.49056,0.95541
208,61,30,498,5.41504,0.94227
208,61,30,570,5.32236,0.92615
208,61,30,666,5.28419,0.9195
208,61,30,738,5.2409,0.91197
208,61,30,834,5.17133,0.89987
208,61,30,906,5.10682,0.88864
209,61,30,138,5.87006,1
209,61,30,234,5.77926,0.98453
209,61,30,330,5.66981,0.96588
209,61,30,402,5.56598,0.9482
209,61,30,498,5.48055,0.93364
209,61,30,570,5.39258,0.91866
209,61,30,666,5.33919,0.90956
209,61,30,738,5.29603,0.90221
209,61,30,834,5.23578,0.89195
209,61,30,906,5.18967,0.88409
210,61,30,138,5.98374,1
210,61,30,234,5.86508,0.98017
210,61,30,330,5.73359,0.95819
210,61,30,402,5.63849,0.9423
210,61,30,498,5.52249,0.92292
210,61,30,570,5.45117,0.911
210,61,30,666,5.38244,0.89951
210,61,30,738,5.32444,0.88982
210,61,30,834,5.26628,0.8801
210,61,30,906,5.24224,0.87608
211,61,30,138,5.58223,1
211,61,30,234,5.49451,0.98429
211,61,30,330,5.38085,0.96392
211,61,30,402,5.28007,0.94587
211,61,30,498,5.17707,0.92742
211,61,30,570,5.13012,0.91901
211,61,30,666,5.06162,0.90674
211,61,30,738,4.99782,0.89531
211,61,30,834,4.94062,0.88506
211,61,30,906,4.90519,0.87872
212,61,30,138,5.79293,1
212,61,30,234,5.68302,0.98103
212,61,30,330,5.54276,0.95682
212,61,30,402,5.42371,0.93626
212,61,30,498,5.34237,0.92222
212,61,30,570,5.29641,0.91429
212,61,30,666,5.23389,0.9035
212,61,30,738,5.15659,0.89015
212,61,30,834,5.10117,0.88059
212,61,30,906,5.03706,0.86952
213,61,30,138,6.67295,1
213,61,30,234,6.56201,0.98337
213,61,30,330,6.3789,0.95593
213,61,30,402,6.27592,0.9405
213,61,30,498,6.17147,0.92485
213,61,30,570,6.08057,0.91123
213,61,30,666,6.02394,0.90274
213,61,30,738,5.93573,0.88952
213,61,30,834,5.88242,0.88153
213,61,30,906,5.80409,0.86979
214,61,30,138,6.75232,1
214,61,30,234,6.66618,0.98724
214,61,30,330,6.51771,0.96525
214,61,30,402,6.41722,0.95037
214,61,30,498,6.28905,0.93139
214,61,30,570,6.18089,0.91537
214,61,30,666,6.11207,0.90518
214,61,30,738,6.05025,0.89603
214,61,30,834,5.99875,0.8884
214,61,30,906,5.93668,0.87921
215,61,30,138,6.17606,1
215,61,30,234,6.05513,0.98042
215,61,30,330,5.9203,0.95859
215,61,30,402,5.81397,0.94137
215,61,30,498,5.70029,0.92296
215,61,30,570,5.62839,0.91132
215,61,30,666,5.55499,0.89944
215,61,30,738,5.49625,0.88993
215,61,30,834,5.43803,0.8805
215,61,30,906,5.40764,0.87558
216,61,30,138,6.19257,1
216,61,30,234,6.13945,0.99142
216,61,30,330,6.01354,0.97109
216,61,30,402,5.92446,0.95671
216,61,30,498,5.83834,0.9428
216,61,30,570,5.77355,0.93234
216,61,30,666,5.69786,0.92011
216,61,30,738,5.63584,0.9101
216,61,30,834,5.54983,0.89621
216,61,30,906,5.51693,0.8909
217,61,30,138,5.55601,1
217,61,30,234,5.48791,0.98774
217,61,30,330,5.37453,0.96734
217,61,30,402,5.30532,0.95488
217,61,30,498,5.21688,0.93896
217,61,30,570,5.14292,0.92565
217,61,30,666,5.0973,0.91744
217,61,30,738,5.05003,0.90893
217,61,30,834,4.97749,0.89588
217,61,30,906,4.92501,0.88643
218,61,30,138,5.94959,1
218,61,30,234,5.91867,0.9948
218,61,30,330,5.77477,0.97062
218,61,30,402,5.69741,0.95761
218,61,30,498,5.59728,0.94078
218,61,30,570,5.50024,0.92447
218,61,30,666,5.45845,0.91745
218,61,30,738,5.3055,0.89174
218,61,30,834,5.23622,0.8801
218,61,30,906,5.17752,0.87023
219,61,30,138,6.73371,1
219,61,30,234,6.62081,0.98323
219,61,30,330,6.43577,0.95575
219,61,30,402,6.36215,0.94482
219,61,30,498,6.25529,0.92895
219,61,30,570,6.16842,0.91605
219,61,30,666,6.0852,0.90369
219,61,30,738,5.91901,0.87901
219,61,30,834,5.94576,0.88298
219,61,30,906,5.88501,0.87396
220,61,30,138,5.14672,1
220,61,30,234,5.07729,0.98651
220,61,30,330,5.01186,0.9738
220,61,30,402,4.93647,0.95915
220,61,30,498,4.85318,0.94296
220,61,30,570,4.80028,0.93269
220,61,30,666,4.72621,0.9183
220,61,30,738,4.64649,0.90281
220,61,30,834,4.61402,0.8965
220,61,30,906,4.60142,0.89405
221,61,30,138,6.29081,1
221,61,30,234,6.20149,0.9858
221,61,30,330,6.09227,0.96844
221,61,30,402,6.00191,0.95408
221,61,30,498,5.92442,0.94176
221,61,30,570,5.7508,0.91416
221,61,30,666,5.74779,0.91368
221,61,30,738,5.65096,0.89829
221,61,30,834,5.64704,0.89766
221,61,30,906,5.59827,0.88991
222,61,30,138,6.24465,1
222,61,30,234,6.17739,0.98923
222,61,30,330,6.00844,0.96218
222,61,30,402,5.91131,0.94662
222,61,30,498,5.81934,0.93189
222,61,30,570,5.70845,0.91414
222,61,30,666,5.66071,0.90649
222,61,30,738,5.59655,0.89622
222,61,30,834,5.52913,0.88542
222,61,30,906,5.47051,0.87603
223,61,30,138,6.47214,1
223,61,30,234,6.41574,0.99129
223,61,30,330,6.23366,0.96315
223,61,30,402,6.14411,0.94932
223,61,30,498,6.04952,0.9347
223,61,30,570,5.92635,0.91567
223,61,30,666,5.90851,0.91292
223,61,30,738,5.84234,0.90269
223,61,30,834,5.77591,0.89243
223,61,30,906,5.7189,0.88362
224,61,30,138,6.30735,1
224,61,30,234,6.23301,0.98821
224,61,30,330,6.08312,0.96445
224,61,30,402,6.00783,0.95251
224,61,30,498,5.89613,0.9348
224,61,30,570,5.83014,0.92434
224,61,30,666,5.78305,0.91687
224,61,30,738,5.70705,0.90483
224,61,30,834,5.64738,0.89537
224,61,30,906,5.60794,0.88911
225,61,30,138,5.73945,1
225,61,30,234,5.65313,0.98496
225,61,30,330,5.56533,0.96966
225,61,30,402,5.46574,0.95231
225,61,30,498,5.36581,0.9349
225,61,30,570,5.33673,0.92983
225,61,30,666,5.25149,0.91498
225,61,30,738,5.19273,0.90474
225,61,30,834,5.15509,0.89819
225,61,30,906,5.128,0.89347
226,61,30,138,6.56756,1
226,61,30,234,6.4513,0.9823
226,61,30,330,6.29709,0.95882
226,61,30,402,6.18057,0.94107
226,61,30,498,6.0657,0.92358
226,61,30,570,5.99869,0.91338
226,61,30,666,5.91187,0.90016
226,61,30,738,5.85572,0.89161
226,61,30,834,5.78893,0.88144
226,61,30,906,5.74352,0.87453
227,61,30,138,5.03051,1
227,61,30,234,4.9872,0.99139
227,61,30,330,4.86042,0.96619
227,61,30,402,4.79188,0.95256
227,61,30,498,4.71699,0.93767
227,61,30,570,4.63119,0.92062
227,61,30,666,4.5903,0.91249
227,61,30,738,4.54832,0.90415
227,61,30,834,4.49354,0.89326
227,61,30,906,4.44327,0.88326
228,61,30,138,5.8972,1
228,61,30,234,5.87348,0.99598
228,61,30,330,5.72581,0.97094
228,61,30,402,5.64289,0.95688
228,61,30,498,5.53581,0.93872
228,61,30,570,5.41092,0.91754
228,61,30,666,5.38119,0.9125
228,61,30,738,5.30515,0.8996
228,61,30,834,5.2562,0.8913
228,61,30,906,5.19994,0.88176
229,61,30,138,6.26492,1
229,61,30,234,6.18057,0.98654
229,61,30,330,6.02376,0.96151
229,61,30,402,5.90069,0.94186
229,61,30,498,5.77499,0.9218
229,61,30,570,5.69647,0.90926
229,61,30,666,5.64213,0.90059
229,61,30,738,5.55187,0.88618
229,61,30,834,5.49755,0.87751
229,61,30,906,5.44718,0.86947
230,61,30,138,5.3053,1
230,61,30,234,5.30434,0.99982
230,61,30,330,5.12294,0.96563
230,61,30,402,5.04336,0.95063
230,61,30,498,4.93842,0.93085
230,61,30,570,4.84563,0.91336
230,61,30,666,4.78369,0.90168
230,61,30,738,4.74183,0.89379
230,61,30,834,4.68668,0.8834
230,61,30,906,4.6368,0.87399
301,110,40,138,5.51616,1
301,110,40,234,5.33343,0.96687
301,110,40,330,5.17481,0.93812
301,110,40,402,5.08942,0.92264
301,110,40,498,4.97709,0.90227
301,110,40,570,4.89949,0.88821
301,110,40,666,4.78072,0.86667
301,110,40,738,4.70637,0.8532
